model,condition,n_item_models,completed_all_runs_rate,all_runs_same_rate,changed_across_runs_rate,mean_unique_answers,mean_pairwise_agreement,mean_accuracy_rate,mean_unknown_rate
gemma_3_27b,multi_agent_no_revision,390,1.0,0.9487179487179487,0.05128205128205128,1.0512820512820513,0.9658119658119658,0.8666666666666667,0.4478632478632478
gemma_3_27b,multi_agent_with_revision,390,1.0,0.9230769230769231,0.07692307692307693,1.0794871794871794,0.9478632478632479,0.8623931623931623,0.49145299145299143
llama_3_3_70b,multi_agent_no_revision,390,1.0,0.958974358974359,0.041025641025641026,1.041025641025641,0.9726495726495726,0.8752136752136752,0.47008547008547014
llama_3_3_70b,multi_agent_with_revision,390,1.0,0.9641025641025641,0.035897435897435895,1.035897435897436,0.9760683760683762,0.8846153846153846,0.5017094017094017
mistral_small_3_2_24b,multi_agent_no_revision,390,1.0,0.9307692307692308,0.06923076923076923,1.0692307692307692,0.9538461538461539,0.8829059829059829,0.5572649572649573
mistral_small_3_2_24b,multi_agent_with_revision,390,1.0,0.9256410256410257,0.07435897435897436,1.0743589743589743,0.9504273504273505,0.8675213675213674,0.5478632478632478
qwen3_14b,multi_agent_no_revision,390,1.0,0.982051282051282,0.017948717948717947,1.0179487179487179,0.988034188034188,0.8111111111111111,0.6487179487179487
qwen3_14b,multi_agent_with_revision,390,1.0,0.9769230769230769,0.023076923076923078,1.023076923076923,0.9846153846153847,0.8102564102564103,0.6333333333333333
qwen3_32b,multi_agent_no_revision,390,1.0,0.9358974358974359,0.0641025641025641,1.0666666666666667,0.9564102564102565,0.8735042735042735,0.558974358974359
qwen3_32b,multi_agent_with_revision,390,1.0,0.8769230769230769,0.12307692307692308,1.1256410256410256,0.9170940170940172,0.8487179487179487,0.5948717948717949
qwen3_8b,multi_agent_no_revision,390,1.0,0.9743589743589743,0.02564102564102564,1.0256410256410255,0.9829059829059829,0.8367521367521367,0.5128205128205128
qwen3_8b,multi_agent_with_revision,390,1.0,0.9641025641025641,0.035897435897435895,1.035897435897436,0.9760683760683762,0.8273504273504274,0.5264957264957265
